USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
message+    3133  0.0  0.0  10736  2896 ?        S    14:46   0:00 nginx: worker process
message+    3134  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3135  0.0  0.0  10736  2928 ?        S    14:46   0:00 nginx: worker process
message+    3136  0.0  0.0  10736  2880 ?        S    14:46   0:00 nginx: worker process
message+    3137  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3138  0.0  0.0  10736  2908 ?        S    14:46   0:00 nginx: worker process
message+    3139  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3140  0.0  0.0  10736  2928 ?        S    14:46   0:00 nginx: worker process
message+    3141  0.0  0.0  10736  2864 ?        S    14:46   0:00 nginx: worker process
message+    3142  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3143  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3144  0.0  0.0  15252  3800 ?        S    14:46   0:00 nginx: worker process
message+    3145  0.0  0.0  15252  3752 ?        S    14:46   0:00 nginx: worker process
70          3163  0.0  0.0 173956  4404 ?        Ss   14:46   0:00 postgres: checkpointer 
70          3164  0.0  0.0 173960  3852 ?        Ss   14:46   0:00 postgres: background writer 
70          3176  0.0  0.0 173928  3708 ?        Ss   14:46   0:00 postgres: walwriter 
70          3177  0.0  0.0 175536  5844 ?        Ss   14:46   0:00 postgres: autovacuum launcher 
70          3178  0.0  0.0 175464  5180 ?        Ss   14:46   0:00 postgres: logical replication launcher 
qsy         3191  0.0  0.1 319192 10212 ?        SLsl 14:46   0:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
qsy         3196  0.0  0.1 478416 13604 ?        Ssl  14:46   0:00 /usr/lib/x86_64-linux-gnu/cinnamon-session-binary --session cinnamon
qsy         3274  0.0  0.1 316828  7664 ?        Ssl  14:46   0:00 /usr/libexec/gvfsd
qsy         3280  0.0  0.0 462248  7420 ?        Sl   14:46   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
qsy         3295  0.0  0.2 600940 19904 ?        Sl   14:46   0:00 /usr/bin/csd-power
qsy         3296  0.0  0.2 378896 18424 ?        Sl   14:46   0:00 /usr/bin/csd-wacom
qsy         3297  0.0  0.2 306092 20576 ?        Sl   14:46   0:00 /usr/bin/csd-clipboard
qsy         3298  0.0  0.0 305224  5976 ?        Sl   14:46   0:00 /usr/bin/csd-a11y-settings
qsy         3301  0.0  0.2 378444 18752 ?        Sl   14:46   0:00 /usr/bin/csd-housekeeping
qsy         3304  0.0  0.0 304228  5744 ?        Sl   14:46   0:00 /usr/bin/csd-settings-remap
qsy         3306  0.0  0.1 318020 10200 ?        Sl   14:46   0:00 /usr/bin/csd-print-notifications
qsy         3307  0.0  0.2 735724 21068 ?        Sl   14:46   0:00 /usr/bin/csd-media-keys
qsy         3311  0.0  0.0 303804  5544 ?        Sl   14:46   0:00 /usr/bin/csd-screensaver-proxy
qsy         3314  0.0  0.2 452356 18900 ?        Sl   14:46   0:00 /usr/bin/csd-automount
qsy         3318  0.0  0.3 445424 27816 ?        Sl   14:46   0:01 /usr/bin/csd-background
qsy         3324  0.0  0.2 614164 19572 ?        Sl   14:46   0:00 /usr/bin/csd-color
qsy         3326  0.0  0.0 383120  7280 ?        Sl   14:46   0:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
qsy         3327  0.0  0.2 380192 19776 ?        Sl   14:46   0:01 /usr/bin/csd-xsettings
qsy         3328  0.0  0.2 378116 18812 ?        Sl   14:46   0:00 /usr/bin/csd-keyboard
qsy         3336  0.0  0.0 230576  6400 ?        Ssl  14:46   0:00 /usr/libexec/dconf-service
